x,y,z,phi,alpha,beta,phi_dot,phi_dot_dot,alpha_dot,alpha_dot_dot,beta_dot,beta_dot_dot
0.5,0.5,0.0,1.7453292519943295,2.23992577422551,0.0,-0.0,-68.90283706733292,-5.154126742791109,0.0,2.445468646047696,-0.0
0.5,0.5,0.0,1.741815339546981,2.2812085352776186,0.02468512376236106,-0.6955211073075187,-68.76411336431136,-5.143749818152958,2.0539413610659025,2.4405451264853393,-0.9745296245057368
0.5,0.5,0.0,1.7312877514901472,2.31135490691389,0.04927084924379171,-1.388241596595751,-68.34850084663702,-5.112660828451552,4.099612225196598,2.425794393073821,-1.9451351621677475
0.5,0.5,0.0,1.7137888787052864,2.3332037805917554,0.07365817840515683,-2.0753721269457133,-67.65767303923076,-5.0609849580757515,6.128775397829015,2.4012758418104094,-2.9079083270550434
0.5,0.5,0.0,1.6893891829769851,2.3489946775241908,0.09774891207927948,-2.7541458662301257,-66.69441166184963,-4.988930287516886,8.133260155047465,2.367088200247373,-3.858972371437414
0.5,0.5,0.0,1.6581869132682208,2.3604154872303313,0.1214460453843283,-3.4218296321698505,-65.46259542808323,-4.896786955502047,10.104995144205027,2.323369129950971,-4.794497696080257
0.5,0.5,0.0,1.6203077101064638,2.3687025527508276,0.14465415832823936,-4.075734897894274,-63.967184427143096,-4.784925990707845,12.036040884411944,2.2702946721869135,-5.710717270689072
0.5,0.5,0.0,1.5759040996736178,2.3747457715150517,0.16727980003134646,-4.713228617690114,-62.214200151334005,-4.653797817758875,13.91862173602297,2.2080785390643167,-6.603941802410899
0.5,0.5,0.0,1.5251548796369185,2.3791792463149806,0.18923186502009035,-5.331743829347185,-60.210701249629764,-4.50393044352673,15.74515721039384,2.1369712529924696,-7.470574591314524
0.5,0.5,0.0,1.4682643991938327,2.3824525294683387,0.21042196007660594,-5.928789990409237,-57.96475510498509,-4.335927331032689,17.50829249383358,2.05725913791551,-8.307126013031676
0.5,0.5,0.0,1.4054617362299635,2.3848837965793086,0.23076476016701272,-6.5019630067093965,-55.48540534983175,-4.150464969515112,19.200928062843392,1.9692631663869573,-9.110227570242715
0.5,0.5,0.0,1.3369997749032587,2.3866983340480235,0.25017835201521105,-7.048954912808863,-52.78263545056273,-3.9482901504460473,20.816248271392045,1.8733376671265285,-9.876645456426438
0.5,0.5,0.0,1.2631541873687577,2.3880558795246394,0.26858456393873453,-7.567563165359162,-49.86732850763657,-3.730216960465542,22.347748795116917,1.7698688982634379,-10.6032935772576
0.5,0.5,0.0,1.1842223237441223,2.389069819242364,0.28590928061852505,-8.055699511966825,-46.75122343317302,-3.497123503342074,23.789262821942547,1.659273492011239,-11.287245977219548
0.5,0.5,0.0,1.100522014785659,2.3898205644273913,0.3020827415351638,-8.511398399848742,-43.446867682497064,-3.249948364158596,25.134985883656284,1.5419967770369507,-11.925748621394366
0.5,0.5,0.0,1.0123902920960417,2.390364811942283,0.3170398218698616,-8.932824890419496,-39.967566729964936,-2.9896868299616766,26.379499228453184,1.4185109852796889,-12.516230484989489
0.5,0.5,0.0,0.9201820310169987,2.390741901260543,0.3307202947391191,-9.318282047941416,-36.32733049251486,-2.717386882091838,27.517791640336977,1.2893133504393188,-13.05631390594712
0.5,0.5,0.0,0.8242685216715641,2.3909781084328676,0.3430690737071295,-9.66621777248586,-32.54081691667635,-2.4341449763325826,28.54527961751823,1.1549241057918422,-13.543824158950137
0.5,0.5,0.0,0.7250359739097971,2.3910894451997007,0.35403643459941303,-9.975231049691832,-28.62327295619297,-2.141101627869939,29.4578258285583,1.0158843893936094,-13.976798212273405
0.5,0.5,0.0,0.6228839621780243,2.391083331921045,0.36357821572451826,-10.244077592156337,-24.590473177920824,-1.8394368188403407,30.251755771942832,0.872754065109353,-14.353492632219684
0.5,0.5,0.0,0.5182238165735733,2.390959363329336,0.37165599569756663,-10.471674849740584,-20.45865624321545,-1.530365246959034,30.923872572002455,0.7261094682380097,-14.672390603311804
0.5,0.5,0.0,0.41147696656364807,2.3907092668731575,0.3782372481496086,-10.657106368617308,-16.24445952057392,-1.2151314343611037,31.471469851602745,0.5765410848138852,-14.932208035973217
0.5,0.5,0.0,0.3030732440376018,2.3903160482335606,0.38329547269983205,-10.7996254815069,-11.964852092823772,-0.895004716350067,31.892342629769818,0.42465117392779766,-15.131898737103551
0.5,0.5,0.0,0.19344915252562928,2.3897522126426107,0.3868103016632419,-10.898658314242981,-7.637066428615829,-0.5712741302326271,32.18479620037041,0.271051342642289,-15.270658622728936
0.5,0.5,0.0,0.08304610955310948,2.3889768290100744,0.3887675820641395,-10.953806096561147,-3.278528993354873,-0.24524322482038619,32.34765295609537,0.11636008326584278,-15.347928955764399
0.5,0.5,0.0,-0.02769133079197458,2.387931049939378,0.38915943262516056,-10.964846767806065,1.0932099210259743,0.08177518850114064,32.38025713026869,-0.0387997170973497,-15.363398595850887
0.5,0.5,0.0,-0.13831726792144164,2.3865314947146716,0.3879842755023968,-10.931735871091373,5.460546864896465,0.40846432200061544,32.282477437388394,-0.193803284693909,-15.317005252207686
0.5,0.5,0.0,-0.2483862502312069,2.384660620675662,0.3852468426388173,-10.854606732311852,9.805896113808007,0.7335087138403311,32.05470760176699,-0.3480264748646677,-15.208935734455402
0.5,0.5,0.0,-0.3574550687776707,2.38215282509113,0.3809581567104039,-10.73376992328712,14.111760479999191,1.0555995249767425,31.69786477214258,-0.5008482852549225,-15.039625200399565
0.5,0.5,0.0,-0.4650845419237048,2.378774513055459,0.3751354867417253,-10.569712011198524,18.360801767395298,1.373439809393344,31.213385828644615,-0.6516533563717355,-14.809755403803722
0.5,0.5,0.0,-0.5708412837681044,2.374195738645338,0.3678022785696702,-10.36309359935482,22.535910586404725,1.6857497364445446,30.603221596984717,-0.7998344494194327,-14.520251949207642
